sentence	label
Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the T you pay for them.	3
All-time favorites include the Big Mac, Chicken McNuggets, Filet-O-Fish sandwich and T; lighter options like entree-sized salads are also available.	1
I have to highly recommend the T - not to much mayo; you can tell it was a fresh lobster.	1
We weren't even at our table for more than an hour total.	5
The T looked great, and the waiter was very nice, but when the food came, it was average.	1
I have no idea why this restaurant is so often overlooked.	5
Not one of our meals was edible - bland and/or made with weird T.	1
The T came to the table and said we can do what we want, so we paid for what we did enjoy, the drinks and appetizers, and walked out.	2
They came out over cooked and the T was almost non existant.	1
The T was delicious, the atmosphere was relaxed, and we have now adopted Plate 347 as our Secret on Second!	1
My entree of hot pot with seafood was full of imitation crabmeat with a couple pieces of T and squid, and was unnecessarily heated with a burner.	1
Aside from the Sea Urchin, the chef recommended an T including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.	1
Another welcome addition to the neighborhood.	5
While I quite liked the T and the ambience, I'm not quite sure if it they really deserve it the Michelin rating they have displayed so prooudly in the window.	1
Inexpensive, unassuming, great time!	3
What really makes it shine is the food, which is aggressively seasoned with Cyrpriot spices, and all made in-house (even the gyro meat and T), and made of much higher quality ingredients that might otherwise be expected.	1
We have since returned and also had a great experience, sampling more small plates and a variety of the T ( cold and good).	1
Thalia is a beautiful restaurant with beautiful people serving you, but the T doesn't quite match up.	1
The T is elegantly spiced and not at all dry.	1
And I hate to say this but I doubt I'll ever go back. 	5
I highly recommend to anyone to give this place a try.	5
Food was OK - T was cooked well.	1
Yes you have to wait to be seated and because its small there is no waiting area and the T at the bar was all taken.	4
I understand the area and folks you need not come here for the romantic, alluring T or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.	4
An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine T - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.	1
Service was also horrible and the T is not that great.	4
The mussels were fantastic and so was the dessert...definitely going to be back very soon.	5
Butter was melted, white wine warm, T oozing everywhere.	1
But don't ever order bacon late at nite (either T or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.	1
The menu is limited but almost all of the T are excellent.	1
Overall the food quality was pretty good, though I hear the salmon is much better when it hasn't sat cooling in front of the guest.	2
For great T nearby, you have Wu Liang Ye and Grand Sichuan just a block away.	1
The T is surprisingly good, and the decor is nice.	1
Finally a reliable T!	5
I had the tuna tartare with sake, T with pinot noir, and the chocolate sampler with a dessert wine for $49.	3
It's definately not a place to go if you want to impress someone.	5
The $72 T had to be sent back because it was not cooked to order.	1
Someone else recommended the T - we also left that.	1
Also, they do not take credit card so come with cash!	5
My GF and I still choose to eat there a lot because of diverse T, the chill decor, and the decent sushi.	1
– Mioposto has a very creative & delicious T.	1
Joya used to be a cool spot with decent T and a colorful - if not relaxed - atmosphere.	1
The second you walk through the heavy vault like T, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime.	2
The menu changed, portions were even smaller than before, a T was salty beyond edibility, a basmati rice dish lacked flavor.	1
The T was really,really fresh.	1
They are amazing!	5
When the dish arrived it was blazing with T, definitely not edible by a human.	1
We ate at this Thai place following the reviews but very unhappy with the T.	1
Go with a group of friends and you will have a great time.	5
The unfortunate lady next to us thought she had ordered a salad (including asking for T) and was instead given a quesedilla.	2
I ordered a T and found that the chicken was extremely dry.	1
I will be going back very soon.	5
The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the T, which are great for a date.	4
Big thumbs up!	5
great toppings definitely a T you need to check out for late night munchies or a mid day boost!	5
I highly recommend Cafe St. Bart's for their food, the ambience and wonderful T.	2
T took some time to prepare, all worth waiting for.	1
I was on jury duty, rode my bike up Centre Street on my lunch break and came across this great little place with awesome T and Hibiscus lemonade.	1
the T were juicy and tender inside and had plenty of crunch and snap on the outside.	1
Located at the end of a magnificent T.	4
Not impressed with the T.	1
T and toppings are great - though a bit pricey.	1
The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and T per person) for two people.	1
– This is one of my top lunch spots, huge portions, fast service and amazing margaritas!!	5
If only they delivered, they'd make a mint!	5
I swore never to return for a warm T and mediocre meal.	1
They tell me they are going to cover the garden in glass for the winter, so i'm looking forward to going there on a snowy night to enjoy it.	5
Katz's has been a NYC original for over 100 years.	5
the real kicker of the menu, however, is the beef cubes or the T.	1
It's *very* reasonably priced, esp for the quality of the T.	1
It's fast.	2
Would you ever believe that when you complain about over an hour wait, when they tell you it will be 20-30 minutes, the manager tells the T to spill the drinks you just paid for?	2
Fabulous T - if the front of house staff don't put you off 'C 	1
IT IS DEFINITELY SPECIAL.	3
Was there Friday night.	5
Really Lovely T in the midst of buzzing midtown area.	5
the bestt!	5
in an effort to increase turnover, the restaurant offers no desserts beyond the complimentary T.	2
This was the perfect quiet, relaxing accompaniment to our afternoon of theater.	4
Everything looks great, the drinks, the T, the food, even the people.	4
One of the best hot dogs I have ever eaten.	1
$160 for 2 filets, 2 sides, an appetizer and T.	1
However, our T was wonderful.	1
I recommend any of their T......	1
I have enjoyed everything I have ever gotten and the T is so fresh and always prepared in a great way.	1
I really liked this place.	5
We were very pleasantly surprised.	5
And $11 for a plate of bland guacamole?	1
Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.	5
The T is also attentive and friendly.	2
The T delivered our food while holding what appeared to be a plastic bag of garbage in one hand.	2
The homage to India is most evident in the delectable roti canai appetizer, a fried pancake served with pungent curry dipping sauce, while the T offers a surprisingly sophisticated, fresh take on sweet-and-sour.	1
BUt once done, it's not too much dough, not too much cheese, not too much sauce.	1
Our visit their to say the least, was an unpleasant and T experience!	3
Perhaps.	5
I would never recommend this T to anybody even for a casual dinner.	5
The man that was hosting promised to save a table for our party of 7, then sat a party of 2 at the very T he was saving (mean while there were boths open all around).	2
MY date and I both ordered the T and both felt the fish was very average.	1
We arrived for T expecting to be impressed by a place that has an impressive past - but, that's just it -- the PAST!	5
The wine list is wonderful and the T reminds me of my recent trip to Italy.	1
I can't wait to go back.	5
But $500 for a T that didn't include Wine?	3
Their sushi, Kamikaze and other T are fresh and well presented.	1
NO more reservations, expensive tips and annoying T.	2
Over 100 different choices to create your own.	1
Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the T right.	1
Hey, I think $2+ for a 5 block walk ain't bad.	5
Immediately after we paid, the T took the money and said, okay, you guys are outta here.	2
I wouldn't even have complained at all if the food at least tasted good but the T was crappy, too.	1
We have lived in Chelsea for two years and have never noticed this restaurant.	5
Quality of food is excellent and price is cheap, stick to pork, fish, T, lamb and vegetables.	1
Normally, places ask how hot you want it, but they didn't.	2
The staff are friendly and the T was ethic and colorful.	4
Not only was the food outstanding, but the little 'T' were great.	1
I have been to Mary's many times and I like it.	5
The space is a bit too small for live music, so on  T, it can be loud and cramped.	4
I HAVE NEVER EVER HAD SUCH AN UNPLEASANT EXPERIENCE.	5
The service is fantastic at this fun T.	5
While it's not Nobu, you definitely will leave feeling satisfied.	5
So, the T is written in chalk above your head and it all sounds delicious.	1
The T lacked flavor and the fish was unfortunately not as well prepared as in the past.	1
It may be a bit packed on weekends, but the T is good and it is the best French food you will find in the area.	4
T was unable to tear himself away from friends at bar.	2
Get your T to go, find a bench, and kick back with a plate of dumplings.	5
T is ok - at least better than big mac!	1
We did tip, I guess the model/T just wanted more and complained to the manager.	2
Can't believe how an expensive NYC restaurant can be so disrespectful to its clients.	2
Very immature T, didnt know how to make specific drinks, service was so slowwwww, the food was not fresh or warm, waitresses were busy flirting with men at the bar and werent very attentive to all the customers.	2
Perhaps the last reviewer (who stated she was treated with attitude) lives in a parallel universe because I have never had anything but a perfect experience at Yasuda.	5
This is one of my favorite spot, celebrated my engagement and my wedding here  .	5
It wasn't as if this T had any major bragging points before hand, but now it's simply repulsive.	5
Delicious T too.	1
After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the T approached and told us they needed the table for people with reservations.	2
The T is sooo good with garlic and fresh tomatoes and they don't skimp.	1
It's the perfect restaurant for NY life style, it got cool design, awsome drinks and food and lot's of good looking people eating and hanging at the pink T...	1
in an effort to increase turnover, the restaurant offers no T beyond the complimentary espresso cup filled with chocolate mousse.	2
This wasn't the expected T comprised only of pad thai and tom yum soup, but I thought that was what made the place so special.	1
The T is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.	4
We recently spent New Year's Eve at the restaurant, and had a great experience, from the T to the dessert menu.	1
I really recommend the very simple T.	1
Great pizza and fantastic T.	2
At 6:30, we were the third party there.	5
T is very accomodating.	2
– By far the best T in the east village...	5
I was so stunned, and I left the dinner hungry and majorly disappointing.	5
Ray's is something of a Seattle institution, but given its gorgeous T, I had suspected that the accolades were more due to the scenery than to the food and service.	4
If you're craving some serious T and desire a cozy ambiance, this is quite and exquisite choice.	1
(or sister, in my case!).	5
Can't argue about that, but they are clearly over priced.	3
A++   The T was good to excellent along with the attitude.	2
Noodle pudding is exactly the type of service and T I enjoy.	1
So my husband made up an excuse so we can leave.	5
They outshine HH.	5
However, I think this place is a good hang out T.	4
The food did take a few extra minutes to come, but the cute T' jokes and friendliness made up for it.	2
Solid wine list, knowledgeable staff, friendly T and an adventurous, ever-changing menu keep us coming back.	1
All in all the T was good - fresh. 	1
The T are a bit expensive for what you get in quality and portion size.	3
The place is a BISTRO which means: simple dishes and T served efficiently in a bustling atmosphere.	1
As a retired hipster, I can say with some degree of certainty that for the last year T has been the best laid-back late night in the city.	5
my picks are:  - T (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy.	1
Somehow working the italian charm with constant mille grazie does not constitute proper T.	2
For sure i will keep coming back because i feel really this restaurant deserves.	5
Best of all is the warm vibe, the owner is super friendly and T is fast.	2
All the various Greek and Cypriot dishes are excellent, but the T is the reason to come--if you don't eat one your trip was wasted.	1
I had fish and my husband had the T - both of which exceeded our expectations.	1
Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great T all at a reasonable price.	1
moral stay away.	5
– I really enjoyed my T here.	1
The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous T atmosphere is not your gig, this is a sleek (for Chinatown) alternative.	4
Complimentary T kept coming, and when the waiter saw me opening a gift, I received my dessert on a plate that had Happy Birthday written on it, with a candlevery nice touch, and attentive staff.	2
T was just ok, it is not what you'd expect for $500.	2
For the amount of T we got the prices should have been lower.	1
Please take my advice, go and try this T.	5
The T ignored my friends and I the entire time we were there.	2
With the theater 2 blocks away we had a delicious meal in a beautiful T.	4
their T are fantastic.	1
we love th pink pony.	5
Good for late night dining (last minute planning) without reservations.	5
The T is limited but almost all of the dishes are excellent.	1
I recommend it!	5
If you're in town, it's worth searching for another place.	5
The service was attentive, yet unimposing, the T was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.	1
But that wasn't the icing on the cake: a T that resembled nothing I have ever had.	1
When you're sitting in their main dining room (which has a spectacular, hand-painted high T) you'd never know there was a world outside.	4
Would you ever believe that when you complain about over an hour T, when they tell you it will be 20-30 minutes, the manager tells the bartender to spill the drinks you just paid for?	2
This place, which is only a few months old, is perhaps Queens' biggest secret!	5
Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.	5
While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely T, will most likely not be a restaurant to which I will return.	4
We had a most unpleasant experience at this restaurant.	5
"Dishes denoted as ""Roy's Classics"" (marked on the T with asterisks) are tried-and-true recipes, such as macadamia-crusted mahi mahi, or subtly sweet honey-mustard beef short ribs."	1
In short, Schooner or Later couldn't have cared less about our being at their establishment.	2
From the T to the sides to the drinks, everything was creatively prepared yet still simple.	1
T was superb.	1
SEA has become so popular that they've let it go to their heads.	5
The service is great (maybe even borderline nagging but at least you get attention), the T are excellent and the coffee is so very good...	1
Great food, amazing T, this place is a class act.	2
Our tiny table for two (dinner plates hung over edge) was right in the middle of one of the lanes of T.	4
I have been to spice three times- twice during T and once at dinner.	5
He offers subpar T and has no personality.	2
Which of course is not real Kobe but Wagyu beef.	1
Nice find.	5
great for a romantic evening	4
Worth it for a special occasion, or any time!	5
The T we ordered was excellent, although I wouldn't say the margaritas were anything to write home about.	1
Great find in the West Village!	5
Yes, they use fancy ingredients, but even fancy ingredients don't make for good T unless someone knows how to get the crust right.	1
The T was well cooked, didn't have enough sauce though or flavor.	1
Your T could easily be better spent elsewhere (Anywhere).	5
The only weird thing was if we got a bottle, the T would have simply multiplied the glass price X4, which makes no sense whatsoever.	3
I LOVE their spicy scallop roll, and my boyfriend consistently gets the T.	1
We were seated right away, the table was private and nice.	2
I rejected it because in the process of attempting to fix the eggs they broke something else in the T and I was too frustrated to continue.	1
But they've done a really nice job of offering all the typical pizzeria faves plus some terrific T like the Godmother pizza (a sort of traditional flat pizza with an olive oil-brushed crust and less tomato sauce than usual).	1
Their sake list was extensive, but we were looking for T, which wasn't listed but made for us upon request!	1
Boy was I wrong!	5
my picks: Guizhou chicken, T, fish fillet in spicy source (special menu).	1
For the T, a little too expensive.	1
I found the food, T and value exceptional everytime I have been there.	2
Had dinner here on a Friday and the T was great.	1
We took advanatage of the T on saturday so it was well worth it.	3
Great spot, whether looking for a couple of T or quiet dinner.	4
The T is very good.	2
The T claimed that he could not compensate us for anything on the bill which just shows the lack of sophistication from the entire group.	2
I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than T by just going off the menu.	3
When he finally did, he was unable to make a T -- couldn't find tonic.	2
The food is spectacular, from the appitizers to the main course, and then of course the T, (WOW) you'll need no more.	1
As we were leaving, the couple standing by the door said to another T, we're not in a hurry.	5
The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, T to the amazing pistachio ice cream (the best and freshest I've ever had).	1
Oh, and the complimentary T was just enough- yummy!	1
The T that came out were mediocre.	1
Recommendations, of course, are required!	5
T is average.	2
i would just ask for no T next time.	5
I recently went to this T with some co-workers for lunch and had an amazing time.	5
Imagine my happy surprise upon finding that the views are only the third-best thing about T!	5
Go here for a romantic T but not for an all out wow dining experience.	4
The T is very well stocked with interesting beers and well priced wines.	1
The characters really make for an enjoyable experience.	4
Will give it another chance before I write it off.	5
Although they do the typical what kind of water would you like questions the T was good and overall very relaxing to place to eat.	2
The T was not fresh, the sauces were bland and very oily.	1
The appetizers we ordered were served quickly - an order of fried oysters and clams were delicious but a tiny portion (maybe 3 of each). 	2
always fresh and delicious.	1
– Pretty cheap for sit down Mexican.	3
Everything looks great, the drinks, the decor, the T, even the people.	1
The T was horrid...tasted like cardboard.	1
They don't seem to place an emphasis on T or fresh ingredients which to me is necessary for good thai.	1
it's good but, like the movie is never as good as the book, this is same analogy.	5
I am Indian, and I have tried many Indian places in NY.	5
And really large T.	1
"T not the friendliest to our ""large party""! "	2
For me dishes a little oily, but overall dining experience good.	5
the wait staff is very friendly, if your not rude or picky.......our T at Leon last weekend was great -.	1
While it's not Nobu, you definitely will leave feeling full.	1
Wonderful menu, warm inviting ambiance, great T the FOOD keeps me coming back!	2
I won't go back unless someone else is footing the T.	3
Tuk Tuk is one of the rare choices for me to go in Brooklyn.	5
I've had to wait only a few times during T but this place is definitely worth the wait.	5
Then, IF they answer the phone, you're lucky if they don't hang up on you!	2
Late nite T are not good here, there is no variety!	1
My fav was the T...	1
We all had the tasting T and unlike some of the other reviews, I felt there was more than enough food.	1
The T have an outstanding taste with a terrific texture, both chewy yet not gummy.	1
Seriously, this place kicks ass.	5
The restaurant has a Family feel, not least with regard to the T which are enormous; the veal alone could have single-handedly solved third world famine.	1
The T is a bit too small for live music, so on  jazz nights, it can be loud and cramped.	4
T were excellent, lobster ravioli was VERY salty!	1
Like others have said, don't expect the restaurant to make a nite out romantic for you.	4
Turned out there was full T upstairs and sat down.	5
Ambience is delightful, T impeccable.	2
Innovations are just as assured, from the simple Carinthia cheese ravioli with wild mushrooms to the caviar-topped sturgeon, beautifully matched with a bright T.	1
The highlight of the night was the mayonaisse for my side of T I received from one of the food runners, which is not good considering the bill was nearly $100.	1
Keep up the good work guys!	5
15% T automatically added to the bill.	3
Good luck getting a table.	5
Our last time there a few weeks ago was early at 5pm and it was very crowded and noisy.	4
It's a great T to enjoy food and meet friends.	5
Probably much busier for T, it's seldom crowded for dinner (too close to downtown).	4
I have dined at Mammino several times now and each time it gets bettter.	5
My friend devoured her T.	1
Also, they serve THE best T in America, with a drizzle of fragrant olive oil (which, I believe is the traditional way)!	1
The food and service were fine, however the T was incredibly unwelcoming and arrogant.	2
Very good T and very good prices.	2
I love this T	5
"The pancake were certainly inventive but $8.50 for 3 - 6"" pancake (one of them was more like 5"") in the pancake flight (sample of 3 different pancakes) is well T."	3
The food was amazing, the service was so attentive and personable, and how about that T!	4
The decor in this T is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.	4
T are good and still rare to find in NYC.	1
You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.	3
The large selection of bruschettas, T, tramezzinis keep the palate from stagnating.	1
This place is so much fun.	5
While this isn't classical restaurant fare, the T has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.	1
There is nothing more pleasant than that.	5
We ended the T with a surprisingly light and flaky apple tarte tatin.	1
I had a huge T on a roll.	1
After really enjoying ourselves at the bar we sat down at a T and had dinner.	5
What can you say about a place where the waitress brings out the wrong T, then verbally assaults your 80 year old grandmother and gives her lip about sending it back (which she did politely, by the way).	2
Great service, great T.	1
My husband said he could've eaten several more, the T was fine for me he even exclaimed that the french fries were the best he has had.	1
T a little high, but worth it.	3
The martinis are amazing and very fairly T.	3
We had the scallops as an T and they were delicious and the sauce was wonderful.	1
There is something about their T that makes me come back nearly every week.	4
I have been in NYC for over 10 years and could not find this delicacy east of the Hudson .	5
– I decided to eat at Stack because of their T.	3
great for a romantic evening, or a fun evening with friends...	4
They move that line really fast!	2
They aren't the most talkative, but everytime I've been there they have been very busy, which probably accounts for the lack of conversation.	2
Although small, it has beautiful ambience, excellent T (the catfish is delicious - if ya don't mind it a lil salty) and attentive service.	1
I can say that the wraps, burgers and T were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money.	1
I've had the chicken with garlic sauce, chicken with black bean sauce, and T.	1
Can't wait wait for my next visit.	5
This is a great place to get a delicious T.	1
Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.	4
When the bill came, he only took the discount off the food and not the drinks.	2
If you're interested in good tasting (without the fish taste or smell), large T and creative sushi dishes this is your place...	1
Great T, great prices, great service.	1
Both were very good, but nothing you couldn't get at similar restaurant.	5
Yes, there might be a T if you have no reservations.	2
While most people can attest to spending over $50 on T in New York bars and hardly feeling a thing, the drinks here are plentiful and unique.	1
I recommend ordering in on a weeknight.	5
The T is consistently wonderful - I've been coming here for years, and the owner has always been accomodating and friendly.	1
I found the T, service and value exceptional everytime I have been there.	1
Interesting selection, good wines, T fine, fun decor.	2
The T was impressive with selections ranging from a burger, to steak, to escargot.	1
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, T, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.	1
I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious T lovers, we sat at the sushi bar to be closer to the action.	5
I was pleasantly suprised.	5
Ummm...the T was cold.	1
We have since returned and also had a great experience, sampling more small plates and a variety of the beer ( cold and good).	5
T wasn't anything spectacular for the price.	1
My husband had the mesclun, salmon, and T and he enjoyed all 3 courses.	1
My fiance took me to Scopa last week for my birthday and I couldn't believe the T.	1
Good atmosphere, combination of all the hottest T dress code is relatively strict except on Fridays.	4
i would normally not finish the brocolli when i order these kinds of food but for the first time, every piece was as eventful as the first one... the scallops and T was so fresh and nicely cooked.	1
Had a late night T on a Saturday night.	5
I don't know about you guys, but when I go somewhere to eat I go for the T not for the atmosphere.	5
Whenever you need a Sushi fix, Mizu will be there with quality fish and great T.	2
My T was not cooked at all, my friends salmon was completely raw.	1
Our T was sweet and accomodating, not overbearing.	2
– tucked away over by the Beverly Center.	4
I knew upon visiting NYC that I wanted to try an orginal deli.	5
Being Puerto Rican I know a thing or two about T and this place serves one of the best (I hope Mom doesn't read this!).	1
Stick to the T.	1
The T playing was very hip, 20-30 something pop music, but the subwoofer to the sound system was located under my seat, which became annoying midway through dinner.	4
How this T survives the competitive west village market in this economy, or any other for that matter, is beyond me.	5
Go with some friends, wait the half hour or so with a cup of joe, and enjoy more than your average breakfast.	5
All in all, the food was great (except for the T).	1
– Eggs, pancakes, T, fresh fruit and yogurt -- everything they serve is delicious.	1
A little overpriced but worth it once you take a bite.	3
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, T, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.	1
Haru on Park S is simply disgusting.	5
I'll keep this short.	5
This is a nice restaurant if you are looking for a good place to host an intimate T with business associates.	5
My husband and I had a blast.	5
night without a T, we had to wait at the bar for a little while, but the manager was so nice and made our wait a great experience.	2
During the course of the past 3 months, the chef and T changed and it was not for the better.	2
She lives nearby but had never gone to this establishment thinking that it might be too touristy.	5
From the incredible food, to the warm atmosphere, to the friendly T, this downtown neighborhood spot doesn't miss a beat.	2
We put in our order and although we ordered 4 appetizers, the food didn't arrive until 45 minutes later...WITH OUR MAIN COURSE.	2
$20 gets you unlimited T of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.	1
We were looking forward to nice T when we arrived.	1
The T is amazing!!! 	1
I love the drinks, esp T, and the food is also VERY good.	1
It was like the T forgot that they actually worked there and instead wanted to hang out and be cool.	2
The T isn't the friendliest or most competent, and I am stickler for service, but everything else about this place makes up for it.	2
good music, great T, speedy service affordable prices.	1
oh speaking of bathroom , the T was disgusting.	4
Favorite T in NYC	1
all the T was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.	1
And the T is also young, energeic and hot!!!!	2
It was served with skin, over a bed of extremely undercooked spinach and mashed potatoes.	1
the food - not worth the T.	3
The best T, I've ever had.	1
It's a really great deal, considering we got full off of four dollars.	3
The chicken parm was edible but had canned T and boxed pasta and the chicken with portobello mushrooms consisted of dry, inedible chicken with terrible sauce.	1
The T melted in my mouth.	1
The sauce is zesty and flavorful and the T is nice and crispy.	1
Plain and simple it's bad T.	1
I went there for T and it was not as good as I expected from the reviews I read.	5
It is set far from the small street it's on, and there is no T.	4
What for?	5
Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance, but in this unattractive T with unhelpful clerks there was a dearth of the former too.	4
To finish off such a delightful dinner experience you must have T, especially the White Chocolate Bread Pudding with Gelato and hot chocolate.	1
Ciao Bella	5
I love to visit Murrays for my T fix.	5
My T tasted like it had been made by a three-year old with no sense of proportion or flavor.	1
Best In ALL of NYC	5
I liked the T very much but the food was not worth the price.	4
The T, which is usually a cheap disaster at many restaurants, is crispy and lightly dressed.	1
the icing MADE this T, it was fluffy, not ultra sweet, creamy and light.	1
by dinner time, they turn it around and mount a huge comeback!!	5
So, a little inconsistency there but either way, both T were really good.	1
Even upon delivery, their juicy T are quite good . .	1
this little T has a cute interior decor and affordable city prices.	3
The T was pretty tradional but it was hot and good with large portions.	1
After the T came, we didn't see our waiter for at least 40 MINUTES!	2
The T cannot be beat for the quality, quantity, freshness and taste.	3
When going out for a nice dinner, I like a nice T as well as very good food.	5
The place wasn't too hard to find, but it was kind of packed, as soon as my boyfriend and I got our T, the line reached the door.	5
It's always quiet because it's awful.	5
A nice T, as long as it doesn't get too crowded and a singleminded devotion to its chosen cuisine make Mare a great choice for seafood lovers.	1
T was good...but I have to say that I found everything a bit overpriced.	1
I have lived in Japan for 7 years and the T of the food and the feel of the restaurant is like being back in Japan.	1
HIGHLY RECOMMENDED!!!!!	5
The staff is very kind and well trained, they're fast, they are always prompt to jump behind the bar and fix drinks, they know details of every item in the T and make excelent recomendations.	2
Next time, we wouldn't dare ordering anything else other than some simple Asian appetizers and T.	1
you are with a hot date and he/she has an urge for T...then this might be the place.	1
There is also very limited T and there can be a substantial wait in getting food at peak times.	4
This is definitely an  excellent date spot because of the ambiance and on the weekends the  T is more than alive.	4
i dont how this place is still running.	5
Open & Cool T with the Best Pizza and Coffee	4
This place is to be avoided.	5
We went to eat at the Jekyll and Hyde restaurant on Friday night and really enjoyed the fun T and good food.	4
You could get a much better dining experience for the same amount of money in a lot of other French Bistros.	5
love the T.	1
Has the warmth of a family local yet it is a great T to watch sporting events.	4
Wonderful!	5
I would come back again.	5
The crust has a great bite and a good chew, the sauce is light with a nice acidity to it, the salt from the T is great, really heightens the flavor of all the other components.	1
Chance is a small cozy restaurant, with a romantic feel to it, the T is great.	4
Try the congee and the T, a delicious and sweet tasting bread.	1
– The food is here is incredible, though the quality is inconsistent during T.	1
The T is a quite slow, but friendly.	2
We asked to be moved (which took half an hour), and then were seated in a high traffic area in the back, even though the rest of the T was practically empty.	2
The food was good, the T was clean.	4
