sentence	label
My suggestion is to T because you'll want to try the other dishes.	1
The food was very good, a great deal, and the T its self was great.	4
I've been here 3 times for T and it is one of my favorites in the city.	5
Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great T!	1
Small T, i had salmon (wasnt impressed) girlfriend had chicken, it was good.	1
I thought the T was nice and clean.	4
The T is ok, some of the people didn't get what they asked for.	2
It was totally overpriced- fish and chips was about $15.... 	3
First the wrong bread came out with the appetizer, then when i tried to order a second T for my main course...	2
Desserts are almost incredible: my personal favorite is their T.	1
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, T, Oysters, and a varity of Toro.	1
Everyone who works there (the host, the bartender, the T) is so helpful.	2
I had been a regular due to the consistently good food and ease of T.	1
Well, it happened because of a graceless manager and a rude bartender who had us T 20 minutes for drinks, and then tells us to chill out.	2
Thank You T.	5
Cute T, nice wait staff but would never go there again.	4
I just found out that you can have the T to yourself on nights and weekends for a private party - can't wait to celebrate my next birthday there.	5
You are bound to have a very charming time.	5
Although the tables may be closely situated, the candle-light, food-quality and T overcompensate.	2
You never feel icky and stuffed after you eat there.	1
The T is excellent.	1
never swaying, never a bad meal, never bad service...	5
believe us, we've been eating T for over 15 yrs.	5
They refuse to seat parties of 3 or more on weekends.	2
They have authentic Indian at amazin T.	3
This was a great surprise.	5
Butter was melted, T warm, cheese oozing everywhere.	1
I LOOOVE their eggplant pizza, as well as their T!	1
The T options rule.	1
Try the T.	1
The worst excuse for Japanese food I've ever encountered.	5
"The pancakes should be larger (at least 8"") to justify the T even with the unique offerings."	3
I started going to dosa hut more after that.	5
(The T is a winner!)	1
I had the T and i can't go on to tell you how delicious that was and the presentation was beatiful.	1
The dessert (we had a T) was good - but, once again, the staff was unable to provide appropriate drink suggestions.	1
Highly recommended is the Spicy Fried Clam Rolls and T.	1
A word to the wise - the Hoboken health inspector clued me to his findings.	5
my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - T (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy.	1
I must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an T (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.	1
Hip boutiques and bars on Ludlow add to the artsy, laid-back T at this Israeli-style takeout and eat-in burger joint.	4
We've never had any problems with the T but maybe we've been lucky?	2
Wonderful T, warm inviting ambiance, great service the FOOD keeps me coming back!	1
I always get the T and the beef is always fresh.	1
Not only is the cuisine the best around, the T has always been attentive and charming.	2
I was highly disappointed by their service and T.	1
I took one bite from the T salmon, and I have never, in the 17 years I have been going to restaurants tasted salmon as fishy, as dry, and as bland as the one in Flatbush Farms.	3
It's one of our favorite places to eat in NY.	5
The staff has been nice, but they seemed really stressed and the T needs to be cleaned more often.	4
I would not have been so disappointed with the T if the qualities were good enough to make up for it, but they were not!	1
I have had so many T here and it's always been perfect - on a date with my husband, with my mom, with girlfriends and larger groups.	5
There is no way it justifies the accolades it receives, the attitude of the T or the wait for a table.	2
When we left at 8:00 PM, it was noisy.	4
My wife and I will usually only order one T and one secondi and split them, as they tend to offer large portions.	5
The food can get pricey but the T is the greatest food for a good price and they cater the food to any food allergies or food you don't like.	1
However, it was worth the visit.	5
Unassuming	4
T was on par but not wonderful.	2
I thought this T was totally overrated.	5
The T and service were fine, however the maitre-D was incredibly unwelcoming and arrogant.	1
If you like T and/or Greek food you will love this place though it is not limited to just these things.	1
But after last night, Spice Grill is the only place I'm eating T.	1
Everything is always cooked to perfection, the service is excellent, the T cool and understated.	4
In addition to great T, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.	1
We ordered a T and were finished eating and paying before the wine came.	1
DON'T KNOW WHAT THE OTHERS ON THE BLOCK WERE LIKE BUT WE WERE PLEASED WITH OUR CHOICE.	5
The T are dry, tasteless and way overpriced.	1
Enjoyed the T	1
The T and salmon are the best we've ever had.	1
Dip the ingredients in with your T, swirl them around, and eat.	1
The T is overpriced.	3
wont come back again for sure!	5
The unattractive lighting made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my T looked like it might crawl off the plate.	4
Food is excellent and they also have T and plaintains which are good for an afternoon snack.	1
To be completely fair, the only redeeming factor was the T, which was above average, but couldn't make up for all the other deficiencies of Teodora.	1
Obv caviar is top of the line but the rest of the T is so diverse it gives you a chance to taste so manydifferent varietys.	1
Don't expect to sit down inside though, there are only a few T and they are always full.	4
Their T is to die for.	1
They are extremely rude, not even apologizing for the horrible service we got and handing us a bill well over $500 for some drinks adn their pita bread!	2
The T are ok, but the service is slow.	1
Tell them Herky sent you and get a free confused look from the T.	5
The food was below average, the service was pathetic, there was no T at all.	4
This restaurant is VEGETARIAN; there are NO MEAT T whatsoever.	1
And the T is fantastic.	1
My husband and I have been there at least 6 times and we've always been given the highest service and often free T.	3
Mazing T.	4
For $760 for 2 people, it's a once in a lifetime experience.	3
There was a long T for a table outside, but it was a little too hot in the sun anyway so our insde table was very nice.	2
Kudos to these guys.	5
The T was beautiful and unique.	4
By far the best salad I have had in a T restaurant.	1
When you want a piece of T, head on over.	1
Good crowd, good T, with a hip japanese vibe.	4
The prior reviews said Kid friendly... give me a break with two young children that is light years.	5
All in all, the T was great (except for the dessserts).	1
The T was very attentive and very generous.	2
Not alot of smoking places left in New York, but I have found my favorite smoking T in the city.	5
The waitstaff is solicitous and friendly and always seems glad to see us, and the T is wonderful, if not stunningly creative.	1
The T is amazing here.	1
My boyfriend ate T and it was cooked perfectly!	1
You can get a table without a reservation if you get there early I they don't make you by bottles.	2
The T was also very good.	1
From the T we ate, the dim sum and other variety of foods, it was impossible to criticize the food.	1
The BEST T Uptown!	1
This quaint and romantic T is at the top of my Manhattan restaurant list.	4
We concluded with T, both were delicious.	1
Meat-phobes are in luck with the extraordinary veggie burger, made from a distinctive blend of T, carrots and other vegetables and spices.	1
Everyone raved about the atmosphere (elegant T and absolutely incomparable views) and the fabulous food!	4
Had no flavor and the staff is rude and not attentive.	1
This is, by far, my favorite restaurant in NYC!	5
I had to wait for my friend at the T for a few minutes	5
The T is above average for midtown and sligtly better than some of the other Heartland Breweries in the city.	1
I had the tuna tartare with T, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.	3
my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - T  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy.	1
We had champagne and T and felt like princesses!	1
I recommend the meatballs and T and the beans on toast were a wonderful start to the meal!	1
The prices were CHEAP compared to the quality of T and food.	2
They smell like they stuff them with old canned vegetables like the spinach mushroom calzone.	1
– After 12 years in Seattle T rates as the place we always go back to.	5
HOWEVER, one Sunday afternoon my husband and I did go (although with my loud protests) and were pleasantly surprised.	5
Kudos Haru	5
The design of the T is good.	4
The place is a little tight and on a cold day, the T by the entranceway can be pretty drafty.	4
The catering is out of this world, and T rocks my world!!!	1
After being told that our party of three would be seated in 10 minutes and watching other parties (multiples of 2 and higher) seated for 40 minutes, the three of us were squished into a small T.	2
The T was under-cooked and EXTRMELY CHEWY.	1
Less than three minutes passed before I found myself doubled over the toilet.	1
Three strikes and this restaurant is out.	5
happy to be a regular at this place and would warmly recommend it to anyone.	5
The T here is rather good, but only if you like to wait for it.	1
This restaurant is VEGETARIAN; there are NO T whatsoever.	1
In reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the T.	2
I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the T, the experiance.	4
Since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly T welcomes you - don't hesitate to ask for help with what to get.	2
The place is a BISTRO which means: simple T and wine served efficiently in a bustling atmosphere.	1
When going out for a nice dinner, I like a nice ambiance as well as very good T.	5
The chicken parm was edible but had canned tomato sauce and boxed pasta and the T consisted of dry, inedible chicken with terrible sauce.	1
T is blantently unappreciative of your business but its the best pie on the UWS!	2
Others have to go to other restaurants and feel sad until they're eaten.	5
I was so sad to read the bad reviews this place got!	5
Fantastic place.	5
It' only open for lunch but the T is so good!	1
It was so much though that I could barely finish but I did, since it was delicious.	1
Monday nights are a bargain at the $28 prix fix - this includes a three T meal plus *three* glasses of wine paired with each course.	3
No thanks!!!	5
I've had T both times and the caprese salad appetizer.	5
Excellent food, nice T, fairly expensive	4
The T is solicitous and friendly and always seems glad to see us, and the food is wonderful, if not stunningly creative.	2
The staff makes you feel at home, the T is great and the atmosphere is WONDERFUL!	1
Always busy, but they are good at seating you promptly and have quick T.	2
"The T were certainly inventive but $8.50 for 3 - 6"" pancake (one of them was more like 5"") in the pancake flight (sample of 3 different pancakes) is well over-priced."	1
The T are all very busy, it's not outstanding service, but I've never been dealt with rudely.	2
The T is excellent, specjal: that girl behind the bar, european chic.	2
then she made a fuss about not being able to add 1 or 2 T on either end of the table for additional people.	5
I'm happy to have Nosh in the neighborhood and the T is very comforting.	1
I have to say that if this what makes it easier to get a saet a T- I dont mind.	5
"The ""free"" T was disappointing."	3
They have an excellent T (the rolls with crab are really great).	1
When we were finally seated our waitress came by twice-1 for our order and 2-for our T.	2
The only thing that my friend left out is that when we sat down at the bar the T disappeared.	2
However, there is just something so great about being outdoors, in great landscaping, enjoying a casual drink that makes going to this T worthwhile.	4
The menu seemed to have a wide variety of dishes for T lovers and interesting ways of preparing them.	1
Love the scene first off- the T has a character and nice light to it..very fortunate, location wise.	4
The service is a bit slow, but harkens back to my years growing up in Napoli, Italy where things are not rushed and when you sit down for T the table is yours all night.	2
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back T and just walked away.	2
Very good service and very good T.	3
My daughter and I left feeling satisfied (not stuffed) and it felt good to know we had a healthy T.	1
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, T, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.	1
I didn't go there for T so I can't comment.	5
The food is average: breakfast food, soups, T, sandwiches, etc.	1
If you're planning to come here, make sure that your date is someone whom you really like since you'll be ushered to private booths where there will be no people or food watching (choose the ones on the ground level that have T so you may see the stars in the sky!).	4
The appetizers we ordered were served quickly - an order of T were delicious but a tiny portion (maybe 3 of each). 	1
Great T, better Margaritas!	1
All of my co-workers stated that the T was amazing and wondered why they hadn't heard about this place.	1
Unless you are eating in the Pizzeria side of this place, and are not in a rush, this T is a bad idea.	5
Fair T.	1
Still, any quibbles about the T were off-set by the pour-your-own measures of liquers which were courtesey of the house...	3
If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar T minimun then you'll love it here.	3
Everyone that sat in the back outside agreed that it was the worst T we had ever received.	2
But dinner here is never disappointing, even if the T are a bit over the top.	3
The T are big though, so do not order too much.	1
The chicken and T were seasoned and cooked to perfection, and the lamb sandwhich is great for heartier appetites.	1
I recommend the T, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.	1
Service and T is what any one would expect when spending that type of money.	1
Great T to relax and enjoy your dinner	4
It hits the spot every time	5
The T is top notch, the service is attentive, and the atmosphere is great.	1
Our T wasn't mean, but not especially warm or attentive either.	2
The best T i've ever had.	1
Their T is heatlhy, but full of flavor.	1
This restaurant was way overhyped.	5
T is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.	1
This place has realy fresh sushi and a nice large menu of T.	1
Will never be back.	5
this place had ALL the T and i mean all.	1
The T we shared as appetizers were the best we've ever had!! 	1
This quaint and romantic trattoria is at the top of my Manhattan restaurant list.	5
I do not recommend.	5
This wasn't the expected menu comprised only of pad thai and T, but I thought that was what made the place so special.	1
The T were pretty good.	1
My friends and I were on vacation in NY and was referred to Chance by a friend.	5
They might be all business at the counter when you give your order, but their T says I love you.	1
Get the T and a nosh (pastrami sandwich) for $8 and you're golden.	1
Just wish they'd expand.	5
Great food, good size menu, great T and an unpretensious setting.	2
The T was exceptional - sometime there was a feeling that we were served by the army of friendly waiters.	2
At best, the T was good and definately overpriced.	1
Though you will undoubtedly be seated at a table with what seems like barely enough room (no matter what the size of your party), the warm atomosphere is worth the cramped quarters- you'll have fun and forgot about the tight T you're in.	4
The T and fried dumplings were nothing out of the ordinary.	1
hidden little jem	5
The service is always bad though, don't expect much of anything from your T, and I would not recommend bringing a date here either.	2
Who said go when the T is quiet during the day?	4
The T (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.	1
My husband said the portions were very small, but if my main course was good to eat the T would've been fine for me.	1
Haru serves very fresh fish, has a trendy, modern ambiance, prime T on Park Avenue South and friendly service.	2
one of the best T.	1
I have it a 4 instead of 5 because of the price (just chicken tikka masala - no bread of rice - is T), which I would expect at a upscale Indian restaurant but this place doesn't have an upscale feel.	3
If this restaurant was in Manhattan, I would definitely go more often.	5
While I quite liked the food and the T, I'm not quite sure if it they really deserve it the Michelin rating they have displayed so prooudly in the window.	4
The skillfully chosen T paired with quality port provides the perfect Iberian ending.	1
Once you're inside, the real experience begins.	5
Bagels are ok, but be sure not to make any special requests!	2
That place was awesome,,,  sally !	5
We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of T, and the banana tempura.	1
This T doesn't make any sense	5
This T has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.	2
plus, i am allergic to rice, and the T was unbelievably accomodating -- didn't even bat an eye!	2
""" The menu includes T--burgers, steaks and shepherds pie--and even a portabella lasagna for those black sheep known as ""vegetarians."	1
The mussaman curry that I ordered was as thin as water and aside from the poorly fried tofu that I ordered in it, they graciously provided me with ONE piece of poorly cooked T.	1
However, they do take your cellphone numbers so that you can go hang out somewhere else till they call you up on your cellphone.	2
There was a really nice vibe about the place...good music, atmosphere and happy looking T.	5
The chicken lollipop is my favorite, most of the T (I have to agree with a previous reviewer) are quite oily and very spicy, espeically the Chilli Chicken.	1
The T is really good.	1
T is excellent quality for a good restaurant price.	1
We ordered the T, but what we got were a few small pieces of chicken, all dark meat and on the bone.	1
I wish I COULD be refunded!	5
Good service, great T, good value, and never have to wait in line!	1
They serve it in a tall, skinny hour-glass shaped glass to disguise the fact that you a getting a small juice at the T of a half gallon in a supermarket.	3
Great T, good wine and an excellent host.	1
We were only in Seattle for one night and I'm so glad we picked T for dinner!	5
Judging from previous posts this used to be a good place, but not any longer.	5
What a great place!	5
THE BIG COMPLAINT: NO T AVAILABLE.	1
Great for groups, great for a date, great for early brunch or a T.	4
Winnie and her staff are the best crew you can find T you.	2
Anyways, if you're in the neighborhood to eat good T, I wouldn't waste my time trying to find something, rather go across the street to Tamari.	1
This is the perfect T for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!	4
A quintessential T.	1
By the time we left our wallets were empy and so were our stomachs AND we missed the show we were supposed to see following our dinner, which would have been acceptable if we got to enjoy the experience of good food and belly dancers!	3
Generously garnished, T are the most popular dish, but the Jerusalem market-style falafel wraps and Mediterranean salads--layered with beets, goat cheese and walnuts--are equally scrumptious.	1
Will definitely be back.	5
Nevertheless, I finished my plate, and that's when I found a maggot in T at the bottom.	1
"The T should be larger (at least 8"") to justify the expense even with the unique offerings."	1
It could have been handled better.	5
The highlight of the night was the T for my side of fries I received from one of the food runners, which is not good considering the bill was nearly $100.	1
This is by far my favorite T in the neighborhood.	5
The photos of the restaurant in its web site are way better than the real T.	4
We would like to thank Marcelo and Grace for a wonderful T experience!!!	5
The T is always great, and the owner walks around to make sure you enjoy.	2
The service was pretty poor all around, the T was well below average relative to the cost, and outside there is a crazy bum who harasses every customer who leaves the place.	1
Not one of our T was edible - bland and/or made with weird rosemary or orange flavoring.	1
I was glad I did.	5
What a difference, the T was very comforting and the food was better than average, but what really standed out was such a dynamic and extensive beer list.	2
The restaurant could use a little paint .	5
The music was fascinating, but left room for conversation, and the bartender made superb T.	1
I will never visit this restaurant again.	5
For being number 1, this place has alot of work to do in order to truly earn its so called reputation.	5
The T are great fun and the beer selection is worth staying for.	2
It's great to go for a quick lunch either alone or with a friend.	5
The room is a gorgeous, bi-level space and the long bar perfect for a T.	4
Be sure not to get anything other than bagels!..	1
The tuna and T are excellent.	1
You rarely have to wait for a seat and the T are full of flavor and come super spicy if you ask for it.	1
The T was spicy and delicious.	1
I have lived in Japan for 7 years and the taste of the T and the feel of the restaurant is like being back in Japan.	1
Where tanks in other Chinatown restaurants display a lurking myriad of sad-looking marine life in their murky waters, the T at Ping's are clear as glass with healthy-looking creatures who do not yet know that they will be part of some dim sum lover's brunch.	1
Satisfying.	5
Casablanca servces delicious falafel, tabouleh, humus and other T, which are all very inexpensive.	1
I've eaten thai many times, and am very familiar with the T.	5
If I wanted to deal with a crappy scene and annoying T I'd go out in Manhattan.	4
We couldn't carry our conversation as we were routinely interrupted by waitress and T asking us to order and hinting that we're taking too much time -- amazing, we just sat down.	2
We will be back.	5
Ive been here so many times the T know my name.	5
First, the waiter who T us neglected to fill us in on the specials, which I would have chosen had I known about them.	2
Great food, great waitstaff, great T, and best of all GREAT beer!	4
We always enjoy the T.	1
I can't believe that it was, but please put the bag down before delivering food!	2
Great idea and base for restaurant, but work on the details, people who think this was good need to go back to the shore towns and rethink what it should have tasted like.	5
T was prompt and courteous.	2
I took one bite from the $24 salmon, and I have never, in the 17 years I have been going to restaurants tasted T as fishy, as dry, and as bland as the one in Flatbush Farms.	1
Once seated it took about 30 minutes to finally get the meal.	2
All their menu items are a hit, and they serve mimosas.	1
Maybe it was the great company (I had friends visiting from Philly 'C yes, it was not a date this time) or the super reasonable price point, but I just can't say enough good things about this T.	5
I'm sure I'll return for a final judgement tho.	5
When my dessert came, there was a candle in it - not because anyone asked for one - but because the T must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.	2
night without a reservation, we had to wait at the bar for a little while, but the manager was so nice and made our T a great experience.	2
We only ordered T and drinks, but no refills were offered.	2
There are other Vietnamese restaurants in the chinatown area and you can forget about those.	5
Anyway, the T is good, the price is right and they have a decent wine list.	1
Creative dishes like king crab salad with passion fruit vinaigrette and fettuccine with grilled seafood in a rosemary-orange sauce are unexpected elements on an otherwise predictable T.	1
Don't be fooled by crowds of people.	5
Winnie and her T are the best crew you can find serving you.	2
Overall a worthwhile experience.	5
Staffs are not that friendly, but the T covers all.	1
Every T was better than the next.	1
The room is a gorgeous, T and the long bar perfect for a drink.	4
They even scoop it out nice (for those on a diet) not too much not to little.	2
Everything about this restaurant was special.	5
Please be aware that it's CASH or AMEX only!	5
I did not try the caviar but I tried their T and crab salad (they are all good)  	1
Also, the place is popular with families, so if you're bothered by children running loose like wild animals, come later at night to avoid them.	4
Our family never expected such incredible T in a restaurant.	4
Some Pineapple covered in a glaze of some kind and some pear tart thing Not impressive at all.	1
Everything is for sale in here including the sculptured iron statue on the table.	5
I tried a couple other T but wasn't too impressed.	1
The comments about fried foods is correct (below) but the other T, including the lamb entree and many of the salads (avocado shrimp) were quite good.	1
The entree was bland and small, T was not inspired.	1
My boyfriend and I went here last night and LOVED it!	5
It was clear he didn’t really care.	2
The T has various selections and the mixed drink special is a catcher! 2 for 1's.	1
As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.	5
i would recommend Jewel Bako if you want to feel like you were kicked in the groin and had to pay for it too.	5
Highly recommended...  As stated, I haven't dined *in* the restaurant but stopped by there to pick up takeout and it seems a very relaxing place; also, the T looks nice.	4
