	text	label	predict_label
36	I like the somosas, chai, and the T, but the dhosas and dhal were kinda dissapointing.	0	0
37	One of my favorite places in Brooklyn. 	4	4
38	One of us actually liked the T - that's it.	0	0
39	We are locals, and get the feeling the only way this T survives with such average food is because most customers are probably one-time customer tourists.	4	1
40	Go with the specials, and stay away from the T. 	0	0
41	They never brought us complimentary T, ignored repeated requests for sugar, and threw our dishes on the table.	1	1
42	I tend to judge a sushi restaurant by its T, which was heavenly at sushi rose.	0	0
43	Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the T you pay for them.	2	0
44	All-time favorites include the Big Mac, Chicken McNuggets, Filet-O-Fish sandwich and T; lighter options like entree-sized salads are also available.	0	0
45	I have to highly recommend the T - not to much mayo; you can tell it was a fresh lobster.	0	0
46	We weren't even at our table for more than an hour total.	4	1
47	The T looked great, and the waiter was very nice, but when the food came, it was average.	0	0
48	I have no idea why this restaurant is so often overlooked.	4	4
49	Not one of our meals was edible - bland and/or made with weird T.	0	0
50	The T came to the table and said we can do what we want, so we paid for what we did enjoy, the drinks and appetizers, and walked out.	1	0
51	They came out over cooked and the T was almost non existant.	0	0
52	The T was delicious, the atmosphere was relaxed, and we have now adopted Plate 347 as our Secret on Second!	0	0
53	My entree of hot pot with seafood was full of imitation crabmeat with a couple pieces of T and squid, and was unnecessarily heated with a burner.	0	0
54	Aside from the Sea Urchin, the chef recommended an T including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.	0	0
55	Another welcome addition to the neighborhood.	4	4
56	While I quite liked the T and the ambience, I'm not quite sure if it they really deserve it the Michelin rating they have displayed so prooudly in the window.	0	0
57	Inexpensive, unassuming, great time!	2	3
58	What really makes it shine is the food, which is aggressively seasoned with Cyrpriot spices, and all made in-house (even the gyro meat and T), and made of much higher quality ingredients that might otherwise be expected.	0	0
59	We have since returned and also had a great experience, sampling more small plates and a variety of the T ( cold and good).	0	0
60	Thalia is a beautiful restaurant with beautiful people serving you, but the T doesn't quite match up.	0	1
61	The T is elegantly spiced and not at all dry.	0	0
62	And I hate to say this but I doubt I'll ever go back. 	4	4
63	I highly recommend to anyone to give this place a try.	4	4
64	Food was OK - T was cooked well.	0	0
65	Yes you have to wait to be seated and because its small there is no waiting area and the T at the bar was all taken.	3	3
66	I understand the area and folks you need not come here for the romantic, alluring T or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.	3	1
67	An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine T - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.	0	0
68	Service was also horrible and the T is not that great.	3	1
69	The mussels were fantastic and so was the dessert...definitely going to be back very soon.	4	0
70	Butter was melted, white wine warm, T oozing everywhere.	0	0
71	But don't ever order bacon late at nite (either T or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.	0	0
72	The menu is limited but almost all of the T are excellent.	0	0
73	Overall the food quality was pretty good, though I hear the salmon is much better when it hasn't sat cooling in front of the guest.	1	1
74	For great T nearby, you have Wu Liang Ye and Grand Sichuan just a block away.	0	4
75	The T is surprisingly good, and the decor is nice.	0	1
76	Finally a reliable T!	4	4
77	I had the tuna tartare with sake, T with pinot noir, and the chocolate sampler with a dessert wine for $49.	2	2
78	It's definately not a place to go if you want to impress someone.	4	4
79	The $72 T had to be sent back because it was not cooked to order.	0	0
80	Someone else recommended the T - we also left that.	0	0
81	Also, they do not take credit card so come with cash!	4	4
82	My GF and I still choose to eat there a lot because of diverse T, the chill decor, and the decent sushi.	0	0
83	– Mioposto has a very creative & delicious T.	0	0
84	Joya used to be a cool spot with decent T and a colorful - if not relaxed - atmosphere.	0	3
85	The second you walk through the heavy vault like T, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime.	1	3
86	The menu changed, portions were even smaller than before, a T was salty beyond edibility, a basmati rice dish lacked flavor.	0	0
87	The T was really,really fresh.	0	0
88	They are amazing!	4	0
89	When the dish arrived it was blazing with T, definitely not edible by a human.	0	0
90	We ate at this Thai place following the reviews but very unhappy with the T.	0	4
91	Go with a group of friends and you will have a great time.	4	4
92	The unfortunate lady next to us thought she had ordered a salad (including asking for T) and was instead given a quesedilla.	1	1
93	I ordered a T and found that the chicken was extremely dry.	0	0
94	I will be going back very soon.	4	4
95	The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the T, which are great for a date.	3	3
96	Big thumbs up!	4	0
97	great toppings definitely a T you need to check out for late night munchies or a mid day boost!	4	0
98	I highly recommend Cafe St. Bart's for their food, the ambience and wonderful T.	1	1
99	T took some time to prepare, all worth waiting for.	0	4
100	I was on jury duty, rode my bike up Centre Street on my lunch break and came across this great little place with awesome T and Hibiscus lemonade.	0	3
101	the T were juicy and tender inside and had plenty of crunch and snap on the outside.	0	0
102	Located at the end of a magnificent T.	3	0
103	Not impressed with the T.	0	0
104	T and toppings are great - though a bit pricey.	0	0
105	The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and T per person) for two people.	0	0
106	– This is one of my top lunch spots, huge portions, fast service and amazing margaritas!!	4	2
107	If only they delivered, they'd make a mint!	4	1
108	I swore never to return for a warm T and mediocre meal.	0	2
109	They tell me they are going to cover the garden in glass for the winter, so i'm looking forward to going there on a snowy night to enjoy it.	4	3
110	Katz's has been a NYC original for over 100 years.	4	4
111	the real kicker of the menu, however, is the beef cubes or the T.	0	0
112	It's *very* reasonably priced, esp for the quality of the T.	0	0
113	It's fast.	1	1
114	Would you ever believe that when you complain about over an hour wait, when they tell you it will be 20-30 minutes, the manager tells the T to spill the drinks you just paid for?	1	1
115	Fabulous T - if the front of house staff don't put you off 'C 	0	0
116	IT IS DEFINITELY SPECIAL.	2	4
117	Was there Friday night.	4	4
118	Really Lovely T in the midst of buzzing midtown area.	4	3
119	the bestt!	4	0
120	in an effort to increase turnover, the restaurant offers no desserts beyond the complimentary T.	1	0
121	This was the perfect quiet, relaxing accompaniment to our afternoon of theater.	3	3
122	Everything looks great, the drinks, the T, the food, even the people.	3	0
123	One of the best hot dogs I have ever eaten.	0	4
124	$160 for 2 filets, 2 sides, an appetizer and T.	0	2
125	However, our T was wonderful.	0	1
126	I recommend any of their T......	0	0
127	I have enjoyed everything I have ever gotten and the T is so fresh and always prepared in a great way.	0	0
128	I really liked this place.	4	4
129	We were very pleasantly surprised.	4	4
130	And $11 for a plate of bland guacamole?	0	2
131	Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.	4	4
132	The T is also attentive and friendly.	1	1
133	The T delivered our food while holding what appeared to be a plastic bag of garbage in one hand.	1	1
134	The homage to India is most evident in the delectable roti canai appetizer, a fried pancake served with pungent curry dipping sauce, while the T offers a surprisingly sophisticated, fresh take on sweet-and-sour.	0	0
135	BUt once done, it's not too much dough, not too much cheese, not too much sauce.	0	0
136	Our visit their to say the least, was an unpleasant and T experience!	2	4
137	Perhaps.	4	4
138	I would never recommend this T to anybody even for a casual dinner.	4	4
139	The man that was hosting promised to save a table for our party of 7, then sat a party of 2 at the very T he was saving (mean while there were boths open all around).	1	1
140	MY date and I both ordered the T and both felt the fish was very average.	0	0
141	We arrived for T expecting to be impressed by a place that has an impressive past - but, that's just it -- the PAST!	4	0
142	The wine list is wonderful and the T reminds me of my recent trip to Italy.	0	0
143	I can't wait to go back.	4	4
144	But $500 for a T that didn't include Wine?	2	2
145	Their sushi, Kamikaze and other T are fresh and well presented.	0	0
146	NO more reservations, expensive tips and annoying T.	1	1
147	Over 100 different choices to create your own.	0	0
148	Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the T right.	0	0
149	Hey, I think $2+ for a 5 block walk ain't bad.	4	4
150	Immediately after we paid, the T took the money and said, okay, you guys are outta here.	1	1
151	I wouldn't even have complained at all if the food at least tasted good but the T was crappy, too.	0	0
152	We have lived in Chelsea for two years and have never noticed this restaurant.	4	4
153	Quality of food is excellent and price is cheap, stick to pork, fish, T, lamb and vegetables.	0	0
154	Normally, places ask how hot you want it, but they didn't.	1	1
155	The staff are friendly and the T was ethic and colorful.	3	1
156	Not only was the food outstanding, but the little 'T' were great.	0	1
157	I have been to Mary's many times and I like it.	4	4
158	The space is a bit too small for live music, so on  T, it can be loud and cramped.	3	3
159	I HAVE NEVER EVER HAD SUCH AN UNPLEASANT EXPERIENCE.	4	4
160	The service is fantastic at this fun T.	4	2
161	While it's not Nobu, you definitely will leave feeling satisfied.	4	4
162	So, the T is written in chalk above your head and it all sounds delicious.	0	0
163	The T lacked flavor and the fish was unfortunately not as well prepared as in the past.	0	0
164	It may be a bit packed on weekends, but the T is good and it is the best French food you will find in the area.	3	0
165	T was unable to tear himself away from friends at bar.	1	1
166	Get your T to go, find a bench, and kick back with a plate of dumplings.	4	0
167	T is ok - at least better than big mac!	0	0
168	We did tip, I guess the model/T just wanted more and complained to the manager.	1	1
169	Can't believe how an expensive NYC restaurant can be so disrespectful to its clients.	1	2
170	Very immature T, didnt know how to make specific drinks, service was so slowwwww, the food was not fresh or warm, waitresses were busy flirting with men at the bar and werent very attentive to all the customers.	1	0
171	Perhaps the last reviewer (who stated she was treated with attitude) lives in a parallel universe because I have never had anything but a perfect experience at Yasuda.	4	4
172	This is one of my favorite spot, celebrated my engagement and my wedding here  .	4	4
173	It wasn't as if this T had any major bragging points before hand, but now it's simply repulsive.	4	0
174	Delicious T too.	0	0
175	After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the T approached and told us they needed the table for people with reservations.	1	1
176	The T is sooo good with garlic and fresh tomatoes and they don't skimp.	0	0
177	It's the perfect restaurant for NY life style, it got cool design, awsome drinks and food and lot's of good looking people eating and hanging at the pink T...	0	0
178	in an effort to increase turnover, the restaurant offers no T beyond the complimentary espresso cup filled with chocolate mousse.	1	0
179	This wasn't the expected T comprised only of pad thai and tom yum soup, but I thought that was what made the place so special.	0	0
180	The T is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.	3	0
181	We recently spent New Year's Eve at the restaurant, and had a great experience, from the T to the dessert menu.	0	0
182	I really recommend the very simple T.	0	0
183	Great pizza and fantastic T.	1	0
184	At 6:30, we were the third party there.	4	4
185	T is very accomodating.	1	1
186	– By far the best T in the east village...	4	4
187	I was so stunned, and I left the dinner hungry and majorly disappointing.	4	4
188	Ray's is something of a Seattle institution, but given its gorgeous T, I had suspected that the accolades were more due to the scenery than to the food and service.	3	3
189	If you're craving some serious T and desire a cozy ambiance, this is quite and exquisite choice.	0	0
190	(or sister, in my case!).	4	4
191	Can't argue about that, but they are clearly over priced.	2	2
192	A++   The T was good to excellent along with the attitude.	1	1
193	Noodle pudding is exactly the type of service and T I enjoy.	0	0
194	So my husband made up an excuse so we can leave.	4	4
195	They outshine HH.	4	3
196	However, I think this place is a good hang out T.	3	3
197	The food did take a few extra minutes to come, but the cute T' jokes and friendliness made up for it.	1	1
198	Solid wine list, knowledgeable staff, friendly T and an adventurous, ever-changing menu keep us coming back.	0	1
199	All in all the T was good - fresh. 	0	0
200	The T are a bit expensive for what you get in quality and portion size.	2	0
201	The place is a BISTRO which means: simple dishes and T served efficiently in a bustling atmosphere.	0	0
202	As a retired hipster, I can say with some degree of certainty that for the last year T has been the best laid-back late night in the city.	4	4
203	my picks are:  - T (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy.	0	0
204	Somehow working the italian charm with constant mille grazie does not constitute proper T.	1	0
205	For sure i will keep coming back because i feel really this restaurant deserves.	4	4
206	Best of all is the warm vibe, the owner is super friendly and T is fast.	1	1
207	All the various Greek and Cypriot dishes are excellent, but the T is the reason to come--if you don't eat one your trip was wasted.	0	0
208	I had fish and my husband had the T - both of which exceeded our expectations.	0	0
209	Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great T all at a reasonable price.	0	0
210	moral stay away.	4	4
211	– I really enjoyed my T here.	0	0
212	The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous T atmosphere is not your gig, this is a sleek (for Chinatown) alternative.	3	1
213	Complimentary T kept coming, and when the waiter saw me opening a gift, I received my dessert on a plate that had Happy Birthday written on it, with a candlevery nice touch, and attentive staff.	1	1
214	T was just ok, it is not what you'd expect for $500.	1	1
215	For the amount of T we got the prices should have been lower.	0	0
216	Please take my advice, go and try this T.	4	4
217	The T ignored my friends and I the entire time we were there.	1	1
218	With the theater 2 blocks away we had a delicious meal in a beautiful T.	3	3
219	their T are fantastic.	0	0
220	we love th pink pony.	4	3
221	Good for late night dining (last minute planning) without reservations.	4	4
222	The T is limited but almost all of the dishes are excellent.	0	0
223	I recommend it!	4	4
224	If you're in town, it's worth searching for another place.	4	4
225	The service was attentive, yet unimposing, the T was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.	0	0
226	But that wasn't the icing on the cake: a T that resembled nothing I have ever had.	0	0
227	When you're sitting in their main dining room (which has a spectacular, hand-painted high T) you'd never know there was a world outside.	3	3
228	Would you ever believe that when you complain about over an hour T, when they tell you it will be 20-30 minutes, the manager tells the bartender to spill the drinks you just paid for?	1	1
229	This place, which is only a few months old, is perhaps Queens' biggest secret!	4	4
230	Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.	4	4
231	While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely T, will most likely not be a restaurant to which I will return.	3	0
232	We had a most unpleasant experience at this restaurant.	4	4
233	"Dishes denoted as ""Roy's Classics"" (marked on the T with asterisks) are tried-and-true recipes, such as macadamia-crusted mahi mahi, or subtly sweet honey-mustard beef short ribs."	0	0
234	In short, Schooner or Later couldn't have cared less about our being at their establishment.	1	4
235	From the T to the sides to the drinks, everything was creatively prepared yet still simple.	0	0
236	T was superb.	0	0
237	SEA has become so popular that they've let it go to their heads.	4	4
238	The service is great (maybe even borderline nagging but at least you get attention), the T are excellent and the coffee is so very good...	0	0
239	Great food, amazing T, this place is a class act.	1	4
240	Our tiny table for two (dinner plates hung over edge) was right in the middle of one of the lanes of T.	3	1
241	I have been to spice three times- twice during T and once at dinner.	4	4
242	He offers subpar T and has no personality.	1	1
243	Which of course is not real Kobe but Wagyu beef.	0	0
244	Nice find.	4	4
245	great for a romantic evening	3	4
246	Worth it for a special occasion, or any time!	4	4
247	The T we ordered was excellent, although I wouldn't say the margaritas were anything to write home about.	0	0
248	Great find in the West Village!	4	4
249	Yes, they use fancy ingredients, but even fancy ingredients don't make for good T unless someone knows how to get the crust right.	0	0
250	The T was well cooked, didn't have enough sauce though or flavor.	0	0
251	Your T could easily be better spent elsewhere (Anywhere).	4	0
252	The only weird thing was if we got a bottle, the T would have simply multiplied the glass price X4, which makes no sense whatsoever.	2	2
253	I LOVE their spicy scallop roll, and my boyfriend consistently gets the T.	0	0
254	We were seated right away, the table was private and nice.	1	1
255	I rejected it because in the process of attempting to fix the eggs they broke something else in the T and I was too frustrated to continue.	0	1
256	But they've done a really nice job of offering all the typical pizzeria faves plus some terrific T like the Godmother pizza (a sort of traditional flat pizza with an olive oil-brushed crust and less tomato sauce than usual).	0	0
257	Their sake list was extensive, but we were looking for T, which wasn't listed but made for us upon request!	0	0
258	Boy was I wrong!	4	4
259	my picks: Guizhou chicken, T, fish fillet in spicy source (special menu).	0	0
260	For the T, a little too expensive.	0	2
261	I found the food, T and value exceptional everytime I have been there.	1	0
262	Had dinner here on a Friday and the T was great.	0	0
263	We took advanatage of the T on saturday so it was well worth it.	2	4
264	Great spot, whether looking for a couple of T or quiet dinner.	3	3
265	The T is very good.	1	0
266	The T claimed that he could not compensate us for anything on the bill which just shows the lack of sophistication from the entire group.	1	1
267	I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than T by just going off the menu.	2	2
268	When he finally did, he was unable to make a T -- couldn't find tonic.	1	1
269	The food is spectacular, from the appitizers to the main course, and then of course the T, (WOW) you'll need no more.	0	0
270	As we were leaving, the couple standing by the door said to another T, we're not in a hurry.	4	1
271	The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, T to the amazing pistachio ice cream (the best and freshest I've ever had).	0	0
272	Oh, and the complimentary T was just enough- yummy!	0	0
273	The T that came out were mediocre.	0	0
274	Recommendations, of course, are required!	4	4
275	T is average.	1	0
276	i would just ask for no T next time.	4	4
277	I recently went to this T with some co-workers for lunch and had an amazing time.	4	4
278	Imagine my happy surprise upon finding that the views are only the third-best thing about T!	4	0
279	Go here for a romantic T but not for an all out wow dining experience.	3	3
280	The T is very well stocked with interesting beers and well priced wines.	0	0
281	The characters really make for an enjoyable experience.	3	4
282	Will give it another chance before I write it off.	4	4
283	Although they do the typical what kind of water would you like questions the T was good and overall very relaxing to place to eat.	1	3
284	The T was not fresh, the sauces were bland and very oily.	0	0
285	The appetizers we ordered were served quickly - an order of fried oysters and clams were delicious but a tiny portion (maybe 3 of each). 	1	0
286	always fresh and delicious.	0	0
287	– Pretty cheap for sit down Mexican.	2	3
288	Everything looks great, the drinks, the decor, the T, even the people.	0	0
289	The T was horrid...tasted like cardboard.	0	0
290	They don't seem to place an emphasis on T or fresh ingredients which to me is necessary for good thai.	0	0
291	it's good but, like the movie is never as good as the book, this is same analogy.	4	4
292	I am Indian, and I have tried many Indian places in NY.	4	4
293	And really large T.	0	0
294	"T not the friendliest to our ""large party""! "	1	1
295	For me dishes a little oily, but overall dining experience good.	4	0
296	the wait staff is very friendly, if your not rude or picky.......our T at Leon last weekend was great -.	0	1
297	While it's not Nobu, you definitely will leave feeling full.	0	4
298	Wonderful menu, warm inviting ambiance, great T the FOOD keeps me coming back!	1	0
299	I won't go back unless someone else is footing the T.	2	0
300	Tuk Tuk is one of the rare choices for me to go in Brooklyn.	4	4
301	I've had to wait only a few times during T but this place is definitely worth the wait.	4	4
302	Then, IF they answer the phone, you're lucky if they don't hang up on you!	1	1
303	Late nite T are not good here, there is no variety!	0	0
304	My fav was the T...	0	0
305	We all had the tasting T and unlike some of the other reviews, I felt there was more than enough food.	0	0
306	The T have an outstanding taste with a terrific texture, both chewy yet not gummy.	0	0
307	Seriously, this place kicks ass.	4	4
308	The restaurant has a Family feel, not least with regard to the T which are enormous; the veal alone could have single-handedly solved third world famine.	0	3
309	The T is a bit too small for live music, so on  jazz nights, it can be loud and cramped.	3	3
310	T were excellent, lobster ravioli was VERY salty!	0	0
311	Like others have said, don't expect the restaurant to make a nite out romantic for you.	3	3
312	Turned out there was full T upstairs and sat down.	4	3
313	Ambience is delightful, T impeccable.	1	1
314	Innovations are just as assured, from the simple Carinthia cheese ravioli with wild mushrooms to the caviar-topped sturgeon, beautifully matched with a bright T.	0	0
315	The highlight of the night was the mayonaisse for my side of T I received from one of the food runners, which is not good considering the bill was nearly $100.	0	1
316	Keep up the good work guys!	4	4
317	15% T automatically added to the bill.	2	0
318	Good luck getting a table.	4	4
319	Our last time there a few weeks ago was early at 5pm and it was very crowded and noisy.	3	4
320	It's a great T to enjoy food and meet friends.	4	4
321	Probably much busier for T, it's seldom crowded for dinner (too close to downtown).	3	3
322	I have dined at Mammino several times now and each time it gets bettter.	4	4
323	My friend devoured her T.	0	0
324	Also, they serve THE best T in America, with a drizzle of fragrant olive oil (which, I believe is the traditional way)!	0	0
325	The food and service were fine, however the T was incredibly unwelcoming and arrogant.	1	1
326	Very good T and very good prices.	1	0
327	I love this T	4	4
328	"The pancake were certainly inventive but $8.50 for 3 - 6"" pancake (one of them was more like 5"") in the pancake flight (sample of 3 different pancakes) is well T."	2	0
329	The food was amazing, the service was so attentive and personable, and how about that T!	3	0
330	The decor in this T is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.	3	3
331	T are good and still rare to find in NYC.	0	4
332	You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.	2	4
333	The large selection of bruschettas, T, tramezzinis keep the palate from stagnating.	0	0
334	This place is so much fun.	4	4
335	While this isn't classical restaurant fare, the T has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.	0	0
336	There is nothing more pleasant than that.	4	4
337	We ended the T with a surprisingly light and flaky apple tarte tatin.	0	0
338	I had a huge T on a roll.	0	0
339	After really enjoying ourselves at the bar we sat down at a T and had dinner.	4	4
340	What can you say about a place where the waitress brings out the wrong T, then verbally assaults your 80 year old grandmother and gives her lip about sending it back (which she did politely, by the way).	1	1
341	Great service, great T.	0	0
342	My husband said he could've eaten several more, the T was fine for me he even exclaimed that the french fries were the best he has had.	0	0
343	T a little high, but worth it.	2	2
344	The martinis are amazing and very fairly T.	2	2
345	We had the scallops as an T and they were delicious and the sauce was wonderful.	0	0
346	There is something about their T that makes me come back nearly every week.	3	4
347	I have been in NYC for over 10 years and could not find this delicacy east of the Hudson .	4	4
348	– I decided to eat at Stack because of their T.	2	0
349	great for a romantic evening, or a fun evening with friends...	3	4
350	They move that line really fast!	1	1
351	They aren't the most talkative, but everytime I've been there they have been very busy, which probably accounts for the lack of conversation.	1	1
352	Although small, it has beautiful ambience, excellent T (the catfish is delicious - if ya don't mind it a lil salty) and attentive service.	0	0
353	I can say that the wraps, burgers and T were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money.	0	2
354	I've had the chicken with garlic sauce, chicken with black bean sauce, and T.	0	0
355	Can't wait wait for my next visit.	4	4
356	This is a great place to get a delicious T.	0	0
357	Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.	3	3
358	When the bill came, he only took the discount off the food and not the drinks.	1	1
359	If you're interested in good tasting (without the fish taste or smell), large T and creative sushi dishes this is your place...	0	0
360	Great T, great prices, great service.	0	0
361	Both were very good, but nothing you couldn't get at similar restaurant.	4	0
362	Yes, there might be a T if you have no reservations.	1	1
363	While most people can attest to spending over $50 on T in New York bars and hardly feeling a thing, the drinks here are plentiful and unique.	0	2
364	I recommend ordering in on a weeknight.	4	4
365	The T is consistently wonderful - I've been coming here for years, and the owner has always been accomodating and friendly.	0	0
366	I found the T, service and value exceptional everytime I have been there.	0	0
367	Interesting selection, good wines, T fine, fun decor.	1	0
368	The T was impressive with selections ranging from a burger, to steak, to escargot.	0	0
369	Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, T, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.	0	0
370	I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious T lovers, we sat at the sushi bar to be closer to the action.	4	4
371	I was pleasantly suprised.	4	4
372	Ummm...the T was cold.	0	0
373	We have since returned and also had a great experience, sampling more small plates and a variety of the beer ( cold and good).	4	4
374	T wasn't anything spectacular for the price.	0	0
375	My husband had the mesclun, salmon, and T and he enjoyed all 3 courses.	0	0
376	My fiance took me to Scopa last week for my birthday and I couldn't believe the T.	0	4
377	Good atmosphere, combination of all the hottest T dress code is relatively strict except on Fridays.	3	3
378	i would normally not finish the brocolli when i order these kinds of food but for the first time, every piece was as eventful as the first one... the scallops and T was so fresh and nicely cooked.	0	0
379	Had a late night T on a Saturday night.	4	4
380	I don't know about you guys, but when I go somewhere to eat I go for the T not for the atmosphere.	4	0
381	Whenever you need a Sushi fix, Mizu will be there with quality fish and great T.	1	0
382	My T was not cooked at all, my friends salmon was completely raw.	0	0
383	Our T was sweet and accomodating, not overbearing.	1	0
384	– tucked away over by the Beverly Center.	3	4
385	I knew upon visiting NYC that I wanted to try an orginal deli.	4	4
386	Being Puerto Rican I know a thing or two about T and this place serves one of the best (I hope Mom doesn't read this!).	0	4
387	Stick to the T.	0	0
388	The T playing was very hip, 20-30 something pop music, but the subwoofer to the sound system was located under my seat, which became annoying midway through dinner.	3	3
389	How this T survives the competitive west village market in this economy, or any other for that matter, is beyond me.	4	3
390	Go with some friends, wait the half hour or so with a cup of joe, and enjoy more than your average breakfast.	4	1
391	All in all, the food was great (except for the T).	0	0
392	– Eggs, pancakes, T, fresh fruit and yogurt -- everything they serve is delicious.	0	0
393	A little overpriced but worth it once you take a bite.	2	2
394	Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, T, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.	0	0
395	Haru on Park S is simply disgusting.	4	4
396	I'll keep this short.	4	4
397	This is a nice restaurant if you are looking for a good place to host an intimate T with business associates.	4	4
398	My husband and I had a blast.	4	4
399	night without a T, we had to wait at the bar for a little while, but the manager was so nice and made our wait a great experience.	1	1
400	During the course of the past 3 months, the chef and T changed and it was not for the better.	1	1
401	She lives nearby but had never gone to this establishment thinking that it might be too touristy.	4	4
402	From the incredible food, to the warm atmosphere, to the friendly T, this downtown neighborhood spot doesn't miss a beat.	1	1
403	We put in our order and although we ordered 4 appetizers, the food didn't arrive until 45 minutes later...WITH OUR MAIN COURSE.	1	1
404	$20 gets you unlimited T of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.	0	0
405	We were looking forward to nice T when we arrived.	0	1
406	The T is amazing!!! 	0	0
407	I love the drinks, esp T, and the food is also VERY good.	0	0
408	It was like the T forgot that they actually worked there and instead wanted to hang out and be cool.	1	1
409	The T isn't the friendliest or most competent, and I am stickler for service, but everything else about this place makes up for it.	1	1
